org_name,equipment_count,sample_equipment_name
佐賀大学 文化教育学部,1,波長分散型蛍光X線分析装置
佐賀大学 総合分析実験センター 本庄地区 生物資源開発部門,1,DNA・RNA定量装置 Q33217
佐賀大学 総合分析実験センター 鍋島地区 放射性同位元素利用部門,1,X線・ガンマ線照射装置
長崎大学 医歯薬学総合研究科 医療科学専攻 情報病理学,3,デジタルパソロジースキャナ(KFBIO)
長崎大学 医歯薬学総合研究科 生命薬科学専攻 化学系共同機器室,1,原子吸光分光光度計(PerkinElmer AAanalyst200)
長崎大学 工学研究科 教育研究支援部 化学・物質工学系技術室,6,DIMPLE GRINDER Model 656(日本電子)
長崎大学 工学研究科 電気情報科学部門 電気電子工学分野,1,高速ICCDカメラ(アンドール社)
長崎大学 水産・環境科学総合研究科,1,顕微分光装置 CRAIC Technologies 308PV
長崎大学 水産・環境科学総合研究科 環境科学領域,1,全有機体炭素計
長崎大学 水産・環境科学総合研究科 環境科学領域 化学環境計測学,1,ガスクロマトグラフィー質量分析計 トリプル四重極質量分析装置(アジレント社製 GC 7890A + MS 7000A)
長崎大学 環境保全センター 環境保全センター 環境安全マネージメント,1,蛍光分光光度計(島津製作所・RF-5300PC)
長崎大学 研究開発推進機構 設備共同利用部門 先端科学研究支援室,5,共焦点ラマン顕微鏡
