region_name,organization_id,organization_name,prefecture,prefecture_source,normalized_org_name
北海道地域,1,北海道大学,北海道,organization_id,北海道大学
北海道地域,2,北海道教育大学,北海道,organization_id,北海道教育大学
北海道地域,3,室蘭工業大学,北海道,organization_id,室蘭工業大学
北海道地域,4,北見工業大学,北海道,organization_id,北見工業大学
東北地域,5,東北大学,宮城県,organization_id,東北大学
東北地域,6,弘前大学,青森県,organization_id,弘前大学
東北地域,7,岩手大学,岩手県,organization_id,岩手大学
東北地域,8,宮城教育大学,宮城県,organization_id,宮城教育大学
東北地域,9,秋田大学,秋田県,organization_id,秋田大学
東北地域,10,山形大学,山形県,organization_id,山形大学
東北地域,11,福島大学,福島県,organization_id,福島大学
北関東地域,12,筑波大学,茨城県,organization_id,筑波大学
北関東地域,13,茨城大学,茨城県,organization_id,茨城大学
北関東地域,14,宇都宮大学,栃木県,organization_id,宇都宮大学
北関東地域,15,群馬大学,群馬県,organization_id,群馬大学
北関東地域,16,埼玉大学,埼玉県,organization_id,埼玉大学
東関東地域,17,千葉大学,千葉県,organization_id,千葉大学
東関東地域,18,東京大学,東京都,organization_id,東京大学
東関東地域,19,東京医科歯科大学,東京都,organization_id,東京医科歯科大学
東関東地域,20,お茶の水女子大学,東京都,organization_id,お茶の水女子大学
西関東・甲斐地域,21,東京科学大学,東京都,organization_id,東京科学大学
西関東・甲斐地域,22,東京学芸大学,東京都,organization_id,東京学芸大学
西関東・甲斐地域,23,東京農工大学,東京都,organization_id,東京農工大学
西関東・甲斐地域,24,電気通信大学,東京都,organization_id,電気通信大学
西関東・甲斐地域,25,横浜国立大学,神奈川県,organization_id,横浜国立大学
西関東・甲斐地域,26,山梨大学,山梨県,organization_id,山梨大学
中部地域,27,名古屋大学,愛知県,organization_id,名古屋大学
中部地域,28,岐阜大学,岐阜県,organization_id,岐阜大学
中部地域,29,静岡大学,静岡県,organization_id,静岡大学
中部地域,30,愛知教育大学,愛知県,organization_id,愛知教育大学
中部地域,31,名古屋工業大学,愛知県,organization_id,名古屋工業大学
中部地域,32,豊橋技術科学大学,愛知県,organization_id,豊橋技術科学大学
中部地域,33,三重大学,三重県,organization_id,三重大学
中部地域,34,信州大学,長野県,organization_id,信州大学
中部地域,35,浜松医科大学,静岡県,organization_id,浜松医科大学
北陸地域,36,金沢大学,石川県,organization_id,金沢大学
北陸地域,37,新潟大学,新潟県,organization_id,新潟大学
北陸地域,38,長岡技術科学大学,新潟県,organization_id,長岡技術科学大学
北陸地域,39,富山大学,富山県,organization_id,富山大学
北陸地域,40,福井大学,福井県,organization_id,福井大学
北陸地域,41,北陸先端科学技術大学院大学,石川県,organization_id,北陸先端科学技術大学院大学
東近畿地域,42,京都大学,京都府,organization_id,京都大学
東近畿地域,43,京都教育大学,京都府,organization_id,京都教育大学
東近畿地域,44,京都工芸繊維大学,京都府,organization_id,京都工芸繊維大学
東近畿地域,45,奈良教育大学,奈良県,organization_id,奈良教育大学
東近畿地域,46,奈良女子大学,奈良県,organization_id,奈良女子大学
東近畿地域,47,奈良先端科学技術大学院大学,奈良県,organization_id,奈良先端科学技術大学院大学
西近畿地域,48,大阪大学,大阪府,organization_id,大阪大学
西近畿地域,49,大阪教育大学,大阪府,organization_id,大阪教育大学
西近畿地域,50,兵庫教育大学,兵庫県,organization_id,兵庫教育大学
西近畿地域,51,神戸大学,兵庫県,organization_id,神戸大学
西近畿地域,52,和歌山大学,和歌山県,organization_id,和歌山大学
中国地域,53,広島大学,広島県,organization_id,広島大学
中国地域,54,鳥取大学,鳥取県,organization_id,鳥取大学
中国地域,55,島根大学,島根県,organization_id,島根大学
中国地域,56,岡山大学,岡山県,organization_id,岡山大学
中国地域,57,山口大学,山口県,organization_id,山口大学
四国地域,58,高知大学,高知県,organization_id,高知大学
四国地域,59,徳島大学,徳島県,organization_id,徳島大学
四国地域,60,鳴門教育大学,徳島県,organization_id,鳴門教育大学
四国地域,61,香川大学,香川県,organization_id,香川大学
四国地域,62,愛媛大学,愛媛県,organization_id,愛媛大学
九州地域,63,九州大学,福岡県,organization_id,九州大学
九州地域,64,福岡教育大学,福岡県,organization_id,福岡教育大学
九州地域,65,九州工業大学,福岡県,organization_id,九州工業大学
九州地域,66,佐賀大学,佐賀県,organization_id,佐賀大学
九州地域,67,長崎大学,長崎県,organization_id,長崎大学
九州地域,68,熊本大学,熊本県,organization_id,熊本大学
九州地域,69,大分大学,大分県,organization_id,大分大学
九州地域,70,宮崎大学,宮崎県,organization_id,宮崎大学
九州地域,71,鹿児島大学,鹿児島県,organization_id,鹿児島大学
九州地域,72,琉球大学,沖縄県,organization_id,琉球大学
その他,73,分子科学研究所,愛知県,organization_id,分子科学研究所
東近畿地域,412,滋賀医科大学,滋賀県,organization_id,滋賀医科大学
西関東・甲斐地域,414,東京工業高等専門学校,東京都,organization_id,東京工業高等専門学校
北海道地域,439,公立千歳科学技術大学,北海道,organization_id,公立千歳科学技術大学
西近畿地域,465,公立大学法人大阪 大阪公立大学,大阪府,organization_id,公立大学法人大阪大阪公立大学
東近畿地域,469,奈良工業高等専門学校,奈良県,organization_id,奈良工業高等専門学校
東関東地域,585,東京海洋大学,東京都,organization_id,東京海洋大学
